10-04-2024 19:33:03 RAM 11086/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,7%@729,7%@729,8%@729,14%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2070,0%@2201,100%@2201] EMC_FREQ 41%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.093C Tboard@44C SOC2@53.187C Tdiode@46.5C SOC0@53.687C CV1@-256C GPU@54.375C tj@58.093C SOC1@52.843C CV2@-256C VDD_GPU_SOC 9565mW/9565mW VDD_CPU_CV 3585mW/3585mW VIN_SYS_5V0 5763mW/5763mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2221mW/2221mW NC 0mW/0mW
10-04-2024 19:33:03 RAM 11815/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@729,8%@729,8%@729,7%@729,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,8%@2201,0%@2201,100%@2201] EMC_FREQ 37%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.718C Tboard@44C SOC2@53.187C Tdiode@46.5C SOC0@53.625C CV1@-256C GPU@54.125C tj@57.718C SOC1@53C CV2@-256C VDD_GPU_SOC 8369mW/8967mW VDD_CPU_CV 3585mW/3585mW VIN_SYS_5V0 5460mW/5611mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2019mW/2120mW NC 0mW/0mW
10-04-2024 19:33:04 RAM 12537/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [14%@729,7%@729,0%@812,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 34%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.875C Tboard@44C SOC2@53.187C Tdiode@46.25C SOC0@53.625C CV1@-256C GPU@54.312C tj@57.625C SOC1@52.875C CV2@-256C VDD_GPU_SOC 7572mW/8502mW VDD_CPU_CV 3585mW/3585mW VIN_SYS_5V0 5157mW/5460mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1817mW/2019mW NC 0mW/0mW
10-04-2024 19:33:04 RAM 13264/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,7%@2201,0%@2201,100%@2201,7%@2201,0%@2201,0%@2201,0%@2082,100%@2201] EMC_FREQ 31%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.875C Tboard@44C SOC2@53.187C Tdiode@46.25C SOC0@53.5C CV1@-256C GPU@54.375C tj@57.875C SOC1@52.656C CV2@-256C VDD_GPU_SOC 6772mW/8069mW VDD_CPU_CV 3584mW/3584mW VIN_SYS_5V0 4954mW/5333mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1716mW/1943mW NC 0mW/0mW
10-04-2024 19:33:04 RAM 13991/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2199,7%@729,0%@729,0%@729,0%@2201,0%@2017,100%@2201,14%@2201,7%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 28%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.562C Tboard@44C SOC2@53.25C Tdiode@46C SOC0@53.437C CV1@-256C GPU@53.718C tj@57.562C SOC1@52.812C CV2@-256C VDD_GPU_SOC 6374mW/7730mW VDD_CPU_CV 3584mW/3584mW VIN_SYS_5V0 4853mW/5237mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1615mW/1877mW NC 0mW/0mW
10-04-2024 19:33:04 RAM 14013/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,7%@2201,100%@2201] EMC_FREQ 26%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.875C Tboard@44C SOC2@53.093C Tdiode@46C SOC0@53.531C CV1@-256C GPU@53.968C tj@57.875C SOC1@52.718C CV2@-256C VDD_GPU_SOC 5976mW/7438mW VDD_CPU_CV 3982mW/3650mW VIN_SYS_5V0 4651mW/5139mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1800mW NC 0mW/0mW
10-04-2024 19:33:04 RAM 14018/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,8%@729,14%@729,15%@729,0%@2201,0%@2201,100%@2201,0%@2201,7%@2201,7%@2201,7%@2201,100%@2201] EMC_FREQ 24%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.531C Tboard@44C SOC2@52.937C Tdiode@46C SOC0@53.437C CV1@-256C GPU@53.531C tj@57.531C SOC1@52.875C CV2@-256C VDD_GPU_SOC 5976mW/7229mW VDD_CPU_CV 3982mW/3698mW VIN_SYS_5V0 4651mW/5069mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1744mW NC 0mW/0mW
10-04-2024 19:33:04 RAM 14019/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,7%@2201,0%@2201,100%@2201] EMC_FREQ 22%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.281C Tboard@44C SOC2@52.937C Tdiode@46C SOC0@53.593C CV1@-256C GPU@53.937C tj@57.281C SOC1@52.687C CV2@-256C VDD_GPU_SOC 5577mW/7022mW VDD_CPU_CV 3982mW/3733mW VIN_SYS_5V0 4651mW/5017mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1703mW NC 0mW/0mW
10-04-2024 19:33:04 RAM 14020/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [14%@729,15%@729,7%@729,7%@729,15%@2201,0%@2201,100%@2201,0%@2059,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 20%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.468C Tboard@44C SOC2@53.062C Tdiode@46C SOC0@53.343C CV1@-256C GPU@54.062C tj@57.468C SOC1@52.937C CV2@-256C VDD_GPU_SOC 5577mW/6862mW VDD_CPU_CV 3982mW/3761mW VIN_SYS_5V0 4651mW/4976mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1682mW NC 0mW/0mW
10-04-2024 19:33:04 RAM 14021/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@883,15%@806,8%@806,7%@806,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,7%@2201,0%@2201,100%@2201] EMC_FREQ 18%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.312C Tboard@44C SOC2@52.968C Tdiode@46C SOC0@53.312C CV1@54.781C GPU@53.531C tj@57.468C SOC1@52.875C CV2@50.656C VDD_GPU_SOC 5577mW/6733mW VDD_CPU_CV 3982mW/3783mW VIN_SYS_5V0 4752mW/4954mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1665mW NC 0mW/0mW
10-04-2024 19:33:05 RAM 14021/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,0%@729,0%@729,0%@729,0%@2201,8%@2201,100%@2201,0%@2201,7%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 17%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.437C Tboard@44C SOC2@52.937C Tdiode@45.75C SOC0@53.406C CV1@-256C GPU@53.468C tj@57.437C SOC1@52.562C CV2@-256C VDD_GPU_SOC 5179mW/6592mW VDD_CPU_CV 3982mW/3801mW VIN_SYS_5V0 4752mW/4935mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1651mW NC 0mW/0mW
