10-04-2024 19:37:52 RAM 11053/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,100%@2201,0%@2201,21%@2201,100%@2201,7%@2201,0%@2201,15%@2201,8%@1036,0%@1036,21%@1036,7%@960] EMC_FREQ 41%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.562C Tboard@43C SOC2@53.093C Tdiode@46C SOC0@53.187C CV1@-256C GPU@54.031C tj@58.218C SOC1@52.218C CV2@-256C VDD_GPU_SOC 9565mW/9565mW VDD_CPU_CV 5179mW/5179mW VIN_SYS_5V0 5864mW/5864mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2221mW/2221mW NC 0mW/0mW
10-04-2024 19:37:52 RAM 11794/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,100%@2201,0%@2201,0%@2201,100%@2201,7%@2201,0%@2201,0%@2201,7%@1113,0%@1113,7%@1267,7%@1267] EMC_FREQ 37%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.562C Tboard@43C SOC2@52.968C Tdiode@45.75C SOC0@53.062C CV1@-256C GPU@54.156C tj@58.562C SOC1@52.218C CV2@-256C VDD_GPU_SOC 8369mW/8967mW VDD_CPU_CV 4780mW/4979mW VIN_SYS_5V0 5460mW/5662mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2019mW/2120mW NC 0mW/0mW
10-04-2024 19:37:52 RAM 12507/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,100%@2201,0%@2201,7%@2201,7%@2201,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 34%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.031C Tboard@43C SOC2@52.812C Tdiode@45.75C SOC0@52.968C CV1@-256C GPU@53.843C tj@58.031C SOC1@52.437C CV2@-256C VDD_GPU_SOC 7572mW/8502mW VDD_CPU_CV 4382mW/4780mW VIN_SYS_5V0 5157mW/5493mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1817mW/2019mW NC 0mW/0mW
10-04-2024 19:37:52 RAM 13227/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,100%@2201,0%@2062,0%@2201,100%@2201,7%@2201,7%@2201,7%@2201,7%@729,7%@729,0%@729,0%@729] EMC_FREQ 31%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.406C Tboard@43C SOC2@52.906C Tdiode@45.75C SOC0@53.093C CV1@-256C GPU@53.843C tj@57.937C SOC1@52.218C CV2@-256C VDD_GPU_SOC 7174mW/8170mW VDD_CPU_CV 4382mW/4680mW VIN_SYS_5V0 4954mW/5358mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1716mW/1943mW NC 0mW/0mW
10-04-2024 19:37:52 RAM 13941/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,7%@729,0%@729,0%@729] EMC_FREQ 28%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.312C Tboard@43C SOC2@52.843C Tdiode@45.75C SOC0@52.875C CV1@-256C GPU@53.781C tj@58.312C SOC1@52.187C CV2@-256C VDD_GPU_SOC 6374mW/7810mW VDD_CPU_CV 3982mW/4541mW VIN_SYS_5V0 4853mW/5257mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1615mW/1877mW NC 0mW/0mW
10-04-2024 19:37:52 RAM 13943/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,100%@2201,7%@2201,0%@2201,100%@2201,14%@2201,14%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 26%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.093C Tboard@43C SOC2@52.687C Tdiode@45.5C SOC0@52.812C CV1@-256C GPU@53.312C tj@58.093C SOC1@52.093C CV2@-256C VDD_GPU_SOC 5976mW/7505mW VDD_CPU_CV 3982mW/4447mW VIN_SYS_5V0 4651mW/5156mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1800mW NC 0mW/0mW
10-04-2024 19:37:52 RAM 13948/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,100%@2201,7%@2201,0%@2201,0%@2201,7%@729,0%@729,0%@729,7%@729] EMC_FREQ 23%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.875C Tboard@43C SOC2@52.718C Tdiode@45.5C SOC0@52.968C CV1@-256C GPU@53.187C tj@57.875C SOC1@52.187C CV2@-256C VDD_GPU_SOC 5976mW/7286mW VDD_CPU_CV 3982mW/4381mW VIN_SYS_5V0 4651mW/5084mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1744mW NC 0mW/0mW
10-04-2024 19:37:53 RAM 13948/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,100%@2201,0%@2201,0%@2201,100%@2355,0%@2201,0%@2201,0%@2201,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 22%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.875C Tboard@43C SOC2@52.562C Tdiode@45.5C SOC0@52.781C CV1@-256C GPU@53.25C tj@57.875C SOC1@52.062C CV2@-256C VDD_GPU_SOC 5577mW/7072mW VDD_CPU_CV 3982mW/4331mW VIN_SYS_5V0 4651mW/5030mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1703mW NC 0mW/0mW
10-04-2024 19:37:53 RAM 13949/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,100%@2080,0%@2201,0%@2201,92%@2201,0%@2372,0%@2201,7%@2201,8%@2394,23%@2201,7%@2201,0%@2201] EMC_FREQ 20%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.562C Tboard@43C SOC2@52.593C Tdiode@45.5C SOC0@52.718C CV1@-256C GPU@53C tj@57.562C SOC1@51.968C CV2@-256C VDD_GPU_SOC 5577mW/6906mW VDD_CPU_CV 3982mW/4292mW VIN_SYS_5V0 4651mW/4988mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1682mW NC 0mW/0mW
10-04-2024 19:37:53 RAM 13950/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,100%@2201,0%@2201,7%@2201,7%@729,8%@729,0%@729,0%@729,100%@2201,0%@2201,7%@2201,0%@2201] EMC_FREQ 18%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.843C Tboard@43C SOC2@52.437C Tdiode@45.25C SOC0@52.625C CV1@-256C GPU@53C tj@57C SOC1@52.187C CV2@-256C VDD_GPU_SOC 5577mW/6773mW VDD_CPU_CV 3982mW/4261mW VIN_SYS_5V0 4752mW/4964mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1665mW NC 0mW/0mW
10-04-2024 19:37:53 RAM 13950/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,100%@2319,0%@2201,0%@2201,0%@729,7%@729,0%@729,7%@729,100%@2201,0%@2201,0%@2378,0%@2201] EMC_FREQ 17%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.812C Tboard@43C SOC2@52.468C Tdiode@45.25C SOC0@52.656C CV1@-256C GPU@53.562C tj@56.812C SOC1@52.218C CV2@-256C VDD_GPU_SOC 5179mW/6628mW VDD_CPU_CV 3982mW/4236mW VIN_SYS_5V0 4752mW/4945mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1651mW NC 0mW/0mW
10-04-2024 19:37:53 RAM 13951/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,7%@2201,0%@729,7%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201] EMC_FREQ 16%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.906C Tboard@43C SOC2@52.343C Tdiode@45.25C SOC0@52.781C CV1@-256C GPU@53.156C tj@56.906C SOC1@51.937C CV2@-256C VDD_GPU_SOC 5179mW/6507mW VDD_CPU_CV 3982mW/4214mW VIN_SYS_5V0 4752mW/4929mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1640mW NC 0mW/0mW
10-04-2024 19:37:53 RAM 13953/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,7%@729,100%@2201,0%@2201,0%@2201,0%@2201] EMC_FREQ 14%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.75C Tboard@43C SOC2@52.312C Tdiode@45.25C SOC0@52.593C CV1@-256C GPU@53.25C tj@56.906C SOC1@52.187C CV2@-256C VDD_GPU_SOC 5179mW/6405mW VDD_CPU_CV 3982mW/4197mW VIN_SYS_5V0 4752mW/4915mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1630mW NC 0mW/0mW
10-04-2024 19:37:53 RAM 13960/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [28%@2201,57%@2201,33%@2201,28%@2201,35%@2201,30%@2201,33%@2201,33%@2201,100%@2201,26%@2201,7%@2201,28%@2201] EMC_FREQ 15%@3199 GR3D_FREQ 94%@1297 GR3D2_FREQ 94%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.062C Tboard@43C SOC2@52.906C Tdiode@45.5C SOC0@53C CV1@-256C GPU@55.843C tj@59.062C SOC1@52C CV2@-256C VDD_GPU_SOC 8754mW/6573mW VDD_CPU_CV 4773mW/4238mW VIN_SYS_5V0 5975mW/4991mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2423mW/1687mW NC 0mW/0mW
10-04-2024 19:37:53 RAM 13960/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 22%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@61.687C Tboard@43C SOC2@53.687C Tdiode@45.5C SOC0@53.093C CV1@-256C GPU@57.156C tj@61.687C SOC1@51.937C CV2@-256C VDD_GPU_SOC 14313mW/7089mW VDD_CPU_CV 8743mW/4538mW VIN_SYS_5V0 8203mW/5205mW NC 0mW/0mW VDDQ_VDD2_1V8AO 4038mW/1843mW NC 0mW/0mW
10-04-2024 19:37:54 RAM 13960/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2415,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 27%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@61.968C Tboard@43C SOC2@54.031C Tdiode@46.25C SOC0@53.25C CV1@-256C GPU@58C tj@61.968C SOC1@52.281C CV2@-256C VDD_GPU_SOC 18694mW/7814mW VDD_CPU_CV 11530mW/4975mW VIN_SYS_5V0 9925mW/5500mW NC 0mW/0mW VDDQ_VDD2_1V8AO 5249mW/2056mW NC 0mW/0mW
