10-04-2024 19:39:03 RAM 11007/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [21%@2201,0%@2201,100%@2201,7%@2201,23%@2201,0%@2201,100%@2201,0%@2201,7%@1574,15%@1574,0%@1574,7%@1420] EMC_FREQ 28%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@56.406C CPU@59.812C Tboard@45C SOC2@55.125C Tdiode@47.75C SOC0@55.218C CV1@-256C GPU@55.812C tj@59.5C SOC1@54.375C CV2@-256C VDD_GPU_SOC 7174mW/7174mW VDD_CPU_CV 4778mW/4778mW VIN_SYS_5V0 4853mW/4853mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1514mW NC 0mW/0mW
10-04-2024 19:39:03 RAM 11739/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2364,100%@2201,0%@2201,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 25%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.312C Tboard@45C SOC2@55C Tdiode@47.75C SOC0@55.062C CV1@-256C GPU@55.875C tj@59.656C SOC1@54.281C CV2@52.468C VDD_GPU_SOC 6775mW/6974mW VDD_CPU_CV 4380mW/4579mW VIN_SYS_5V0 4752mW/4802mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1514mW NC 0mW/0mW
10-04-2024 19:39:03 RAM 12456/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,14%@2201,7%@729,7%@729,0%@729,0%@729] EMC_FREQ 23%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.281C Tboard@45C SOC2@54.875C Tdiode@47.5C SOC0@55.031C CV1@-256C GPU@55.562C tj@59.281C SOC1@54.562C CV2@-256C VDD_GPU_SOC 6374mW/6774mW VDD_CPU_CV 4380mW/4512mW VIN_SYS_5V0 4651mW/4752mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1480mW NC 0mW/0mW
10-04-2024 19:39:03 RAM 13176/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,7%@2201,100%@2201,0%@2201,0%@2443,0%@2201,100%@2201,0%@2201,7%@729,7%@729,0%@729,0%@729] EMC_FREQ 21%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.656C Tboard@45C SOC2@54.812C Tdiode@47.5C SOC0@55.125C CV1@-256C GPU@55.687C tj@59.656C SOC1@54.375C CV2@-256C VDD_GPU_SOC 5976mW/6574mW VDD_CPU_CV 3982mW/4380mW VIN_SYS_5V0 4651mW/4726mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1463mW NC 0mW/0mW
10-04-2024 19:39:03 RAM 13894/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,100%@2201,7%@2201,0%@2201,7%@2201,100%@2201,0%@2201,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 20%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.156C Tboard@45C SOC2@54.843C Tdiode@47.5C SOC0@54.937C CV1@-256C GPU@55.687C tj@59.156C SOC1@54.281C CV2@-256C VDD_GPU_SOC 5976mW/6455mW VDD_CPU_CV 3982mW/4300mW VIN_SYS_5V0 4550mW/4691mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1312mW/1433mW NC 0mW/0mW
10-04-2024 19:39:03 RAM 13946/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,7%@2201,100%@2201,0%@2201,7%@2201,7%@2201,100%@2201,7%@2201,0%@729,7%@729,7%@729,0%@729] EMC_FREQ 18%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.843C Tboard@45C SOC2@54.843C Tdiode@47.5C SOC0@54.875C CV1@-256C GPU@55.468C tj@58.843C SOC1@54.312C CV2@-256C VDD_GPU_SOC 5577mW/6308mW VDD_CPU_CV 3982mW/4247mW VIN_SYS_5V0 4449mW/4651mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1312mW/1413mW NC 0mW/0mW
10-04-2024 19:39:03 RAM 13951/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,100%@2201,7%@2201,7%@2201,0%@2201,100%@2201,0%@2201,0%@729,7%@729,0%@729,0%@729] EMC_FREQ 16%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.906C Tboard@45C SOC2@54.75C Tdiode@47.5C SOC0@55.062C CV1@-256C GPU@55.531C tj@58.906C SOC1@54.25C CV2@-256C VDD_GPU_SOC 5577mW/6204mW VDD_CPU_CV 3982mW/4209mW VIN_SYS_5V0 4449mW/4622mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1312mW/1398mW NC 0mW/0mW
10-04-2024 19:39:04 RAM 13951/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,7%@2201,100%@2201,0%@2201,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 15%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.968C Tboard@45C SOC2@54.656C Tdiode@47.5C SOC0@54.812C CV1@-256C GPU@55.656C tj@58.968C SOC1@54.093C CV2@-256C VDD_GPU_SOC 5179mW/6076mW VDD_CPU_CV 3982mW/4181mW VIN_SYS_5V0 4550mW/4613mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1312mW/1387mW NC 0mW/0mW
10-04-2024 19:39:04 RAM 13952/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@1979,100%@2201,9%@2201,0%@2201,15%@2201,15%@2201,8%@1344] EMC_FREQ 14%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.843C Tboard@45C SOC2@54.656C Tdiode@47.25C SOC0@55.156C CV1@-256C GPU@55.093C tj@58.843C SOC1@54.218C CV2@-256C VDD_GPU_SOC 5179mW/5976mW VDD_CPU_CV 3982mW/4158mW VIN_SYS_5V0 4651mW/4617mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1390mW NC 0mW/0mW
10-04-2024 19:39:04 RAM 13953/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,100%@2054,0%@2201,7%@2201,0%@2201,100%@2201,0%@2201,0%@729,0%@729,7%@729,0%@729] EMC_FREQ 13%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@55.875C CPU@59.062C Tboard@45C SOC2@54.656C Tdiode@47.25C SOC0@54.875C CV1@-256C GPU@55.156C tj@59.062C SOC1@54.218C CV2@-256C VDD_GPU_SOC 5179mW/5896mW VDD_CPU_CV 3982mW/4141mW VIN_SYS_5V0 4651mW/4620mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1392mW NC 0mW/0mW
10-04-2024 19:39:04 RAM 13954/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,7%@2201,100%@2201,0%@2201,7%@2201,0%@2201,100%@2201,0%@2065,7%@729,7%@729,0%@729,0%@729] EMC_FREQ 12%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.843C Tboard@45C SOC2@54.468C Tdiode@47.25C SOC0@54.75C CV1@-256C GPU@55.093C tj@58.968C SOC1@54.25C CV2@-256C VDD_GPU_SOC 5179mW/5831mW VDD_CPU_CV 3982mW/4126mW VIN_SYS_5V0 4651mW/4623mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1403mW NC 0mW/0mW
