10-04-2024 17:51:16 RAM 9013/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [10%@1728,3%@1728,2%@1728,2%@1728,2%@2201,3%@2201,1%@2201,100%@2201,2%@729,3%@729,1%@729,3%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.031C Tboard@36C SOC2@44C Tdiode@37.5C SOC0@44.656C CV1@-256C GPU@43.812C tj@48.406C SOC1@43.937C CV2@-256C
10-04-2024 17:51:17 RAM 9020/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@1113,4%@1113,2%@1113,4%@1113,2%@2201,5%@2201,2%@2201,100%@2201,2%@729,3%@729,2%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.187C Tboard@36C SOC2@44C Tdiode@37.5C SOC0@44.718C CV1@-256C GPU@43.718C tj@48.187C SOC1@43.875C CV2@-256C
10-04-2024 17:51:18 RAM 9025/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [4%@2201,1%@2201,1%@2201,5%@2201,2%@2201,4%@2201,3%@2201,100%@2201,2%@729,2%@729,1%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.093C Tboard@36C SOC2@44C Tdiode@37.5C SOC0@44.593C CV1@-256C GPU@44.125C tj@47.843C SOC1@43.875C CV2@-256C
10-04-2024 17:51:19 RAM 9030/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@2201,2%@2201,3%@2201,4%@2201,2%@2201,1%@2201,2%@2201,100%@2201,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.218C Tboard@36C SOC2@44C Tdiode@37.5C SOC0@44.718C CV1@-256C GPU@44.062C tj@48.218C SOC1@43.906C CV2@-256C
10-04-2024 17:51:20 RAM 9034/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [6%@2201,5%@2201,2%@2201,1%@2201,2%@2201,0%@2201,3%@2201,100%@2201,1%@729,3%@729,3%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.875C Tboard@36C SOC2@44.062C Tdiode@37.5C SOC0@44.781C CV1@-256C GPU@44.156C tj@47.875C SOC1@43.843C CV2@-256C
10-04-2024 17:51:21 RAM 9041/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@2201,2%@729,1%@729,2%@729,5%@2201,1%@2201,3%@2201,100%@2201,1%@1113,2%@1113,1%@1113,1%@1113] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.406C Tboard@36C SOC2@44C Tdiode@37.5C SOC0@44.593C CV1@-256C GPU@43.593C tj@47.968C SOC1@43.968C CV2@-256C
10-04-2024 17:51:22 RAM 9049/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,4%@729,0%@729,1%@729,2%@2201,1%@2201,3%@2201,100%@2201,2%@729,2%@729,1%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.906C Tboard@36C SOC2@43.906C Tdiode@37.5C SOC0@44.562C CV1@-256C GPU@43.718C tj@48.125C SOC1@44.156C CV2@-256C
10-04-2024 17:51:23 RAM 9053/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [4%@2201,2%@2201,2%@2201,1%@2201,4%@2201,1%@2201,0%@2201,100%@2201,2%@729,1%@729,4%@729,7%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.937C Tboard@36C SOC2@44.031C Tdiode@37.5C SOC0@44.625C CV1@-256C GPU@43.812C tj@47.937C SOC1@43.875C CV2@-256C
10-04-2024 17:51:24 RAM 9056/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@729,3%@729,2%@729,2%@729,3%@2201,0%@2201,0%@2201,100%@2201,4%@729,2%@729,1%@729,4%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.125C Tboard@36C SOC2@43.968C Tdiode@37.5C SOC0@44.593C CV1@-256C GPU@-256C tj@48.125C SOC1@43.937C CV2@-256C
10-04-2024 17:51:25 RAM 9062/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [2%@729,6%@729,2%@729,0%@729,4%@2201,3%@2201,0%@2201,100%@2201,2%@729,0%@729,0%@729,3%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.937C Tboard@36C SOC2@43.968C Tdiode@37.25C SOC0@44.625C CV1@-256C GPU@-256C tj@47.937C SOC1@43.875C CV2@-256C
10-04-2024 17:51:26 RAM 9067/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [11%@2201,8%@2201,1%@2201,1%@2201,2%@2201,2%@2201,0%@2201,100%@2201,3%@2201,2%@2201,1%@2201,0%@2201] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.437C Tboard@36C SOC2@44.093C Tdiode@37.25C SOC0@44.656C CV1@-256C GPU@-256C tj@48.437C SOC1@43.812C CV2@-256C
10-04-2024 17:51:27 RAM 9074/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@729,7%@729,3%@729,1%@729,3%@2201,3%@2201,2%@2201,100%@2201,2%@729,2%@729,0%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.031C Tboard@36C SOC2@43.968C Tdiode@37.25C SOC0@44.625C CV1@-256C GPU@-256C tj@48.031C SOC1@43.843C CV2@-256C
10-04-2024 17:51:28 RAM 9080/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@729,1%@729,5%@729,4%@729,1%@2201,3%@2201,1%@2201,100%@2201,3%@729,2%@729,2%@729,3%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.093C Tboard@36C SOC2@43.968C Tdiode@37.25C SOC0@44.687C CV1@-256C GPU@-256C tj@47.718C SOC1@43.875C CV2@-256C
10-04-2024 17:51:29 RAM 9090/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,5%@729,3%@729,3%@729,2%@2201,3%@2201,0%@2201,100%@2201,2%@729,1%@729,2%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.187C Tboard@36C SOC2@43.968C Tdiode@37.25C SOC0@44.718C CV1@-256C GPU@-256C tj@48.187C SOC1@43.812C CV2@-256C
10-04-2024 17:51:30 RAM 9093/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@729,3%@729,5%@729,2%@729,2%@2201,2%@2201,0%@2201,100%@2201,1%@729,1%@729,3%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.968C Tboard@36C SOC2@44C Tdiode@37.25C SOC0@44.75C CV1@-256C GPU@-256C tj@47.75C SOC1@43.906C CV2@-256C
10-04-2024 17:51:31 RAM 9099/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [6%@729,4%@729,4%@729,6%@729,2%@2201,2%@2201,0%@2201,100%@2201,2%@1267,0%@1267,2%@1267,1%@1267] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.906C Tboard@36C SOC2@43.937C Tdiode@37.25C SOC0@44.656C CV1@-256C GPU@-256C tj@47.906C SOC1@43.968C CV2@-256C
